                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.22858,                0.95533,                0.97916,                0.34027,                 0.7361,                0.52788,                0.52788,                0.45359,                 2.8252,                0.98286,             0.00038375,             0.00038375,             0.00038375
                     37,                0.15322,                0.73188,                0.94095,                0.34027,                 0.7361,                0.52788,                0.52788,                0.45359,                 2.8252,                0.98286,               0.000359,               0.000359,               0.000359
                     38,                0.17989,                0.79275,                0.95344,                0.34066,                0.72659,                0.52223,                0.52223,                0.44172,                 2.7839,                 0.9437,             0.00033425,             0.00033425,             0.00033425
                     39,                0.18955,                0.80405,                0.93579,                0.33781,                0.72594,                0.53547,                0.53547,                0.41589,                 2.5497,                0.89645,              0.0003095,              0.0003095,              0.0003095
                     40,                0.15798,                0.77475,                0.91467,                0.44764,                0.48889,                0.48408,                0.48408,                0.26014,                 2.4809,                 0.6969,             0.00028475,             0.00028475,             0.00028475
                     41,                0.23325,                 1.8018,                 0.9603,                0.44764,                0.48889,                0.48408,                0.48408,                0.26014,                 2.4809,                 0.6969,                0.00026,                0.00026,                0.00026
                     42,                0.30238,                 1.8789,                 1.0648,                0.46097,                0.47416,                0.45772,                0.45772,                 0.2341,                  2.574,                0.67778,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.1657,                 1.4942,                0.90206,                0.38353,                0.46766,                0.48462,                0.48462,                0.23776,                 2.5607,                0.66621,              0.0002105,              0.0002105,              0.0002105
                     44,                0.18646,                 1.4203,                 1.0042,                0.41718,                0.48776,                0.45549,                0.45549,                0.25302,                 2.4454,                0.66906,             0.00018575,             0.00018575,             0.00018575
                     45,                0.13825,                  1.268,                0.86088,                0.39229,                0.48847,                0.46532,                0.46532,                0.25302,                 2.4454,                0.66906,               0.000161,               0.000161,               0.000161
                     46,                0.14494,                 1.2467,                0.92552,                0.27339,                0.46667,                0.33676,                0.33676,                0.25873,                 2.4757,                0.66674,             0.00013625,             0.00013625,             0.00013625
                     47,                0.14449,                  1.218,                0.90758,                0.40929,                0.64444,                0.43149,                0.43149,                0.26383,                 2.5101,                0.66673,              0.0001115,              0.0001115,              0.0001115
                     48,                0.13997,                 1.2974,                  0.867,                0.39487,                0.46667,                0.35104,                0.35104,                0.25727,                 2.5297,                0.65805,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.13143,                 1.2701,                0.89533,                0.44661,                0.82222,                0.52104,                0.52104,                0.25727,                 2.5297,                0.65805,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.12962,                 1.1413,                0.89395,                0.44358,                0.81543,                0.52587,                0.52587,                 0.2505,                 2.5776,                0.65431,              3.725e-05,              3.725e-05,              3.725e-05
